nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
100 PROPOS SANS REPONSE,760.00,
1001 JEUNES BORDELAIS,0.00,Matériel pour manifestations
2A - ATELIERS ARTISTIQUES,0.00,Locaux
2MOIZAILES,500.00,
5UN7,"2,000.00",
60 000 REBONDS,"1,800.00",
9EME TEMPS,"1,600.00",
A FOND TU PEUX !,0.00,Matériel pour manifestations
A PART CA TOUT VA BIEN,0.00,Locaux
A PART ENTIERE,700.00,Matériel pour manifestations
A TRAVERS CHANT,0.00,Locaux
A.A.O (AM ANGEGEBENEM ORT),"2,000.00",
A2RUNNING,0.00,Locaux
ABALONE CHASSE BORDEAUX - ACB,0.00,"Equipements sportifs, locaux"
ABEILLES BORDELAISES,0.00,Locaux
ABICE,0.00,Matériel pour manifestations
ACADEMIE BUSHIKAI KARATE DO,0.00,Equipements sportifs
"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE BORDEAUX","7,600.00",Locaux
ACADEMIE YOUNUS ,"22,016.00","Matériel pour manifestations, équipements sportifs,"
ACARBO,0.00,Equipements sportifs
ACCOMPAGNEMENT ET RECHERCHE PSYCHO-SOCIO EDUCATIFS POUR LES JEUNES (ARPEJE),0.00,Locaux
ACCOMPAGNEMENT PSYCHOLOGIQUE ET MEDIATION INTERCULTURELLE - AMI,"7,000.00",Locaux
ACCOMPAGNEMENT RECHERCHE PSYCHO EDUCATIFS POUR LES JEUNES,"1,500.00",
ACCOMPAGNER CONDUIRE TRANSMETTRE - ACT,300.00,Locaux
ACCORDERIE BORDEAUX,"6,180.00",Locaux
ACEPP 33/47 - ASSOCIATION DES COLLECTIFS ENFANTS PARENTS PROFESSIONNELS 33/47,0.00,Matériel pour manifestations
"ACIDD, ASSOCIATION COMMUNICATION ET INFORMATION POUR LE DEVELOPPEMENT DURABLE","10,000.00",Locaux
ACINQBYS_ESPACE 29 A5BIS,"20,000.00",
ACTA GIRONDE - AGIR CONTRE LA TORTURE DES ANIMAUX,0.00,Locaux
ACTIFS 33,"2,400.00",
ACTIMAGE,"29,000.00",Locaux
ACTION INTERNATIONALE POUR LA PAIX ET LE DEVELOPPEMENT (AIPD),0.00,Locaux
ACTION JAZZ,"10,738.00","Matériel pour manifestations, locaux"
ACTIV'ACTION,0.00,Locaux
AD HOC : ASSOCIATION DES DOCTORANTS EN DROIT DE L'UNIVERSITE DE BORDEAUX,0.00,Locaux
ADDAH 33,500.00,
ADORA - ASS. DEVELOPPEMENT ET ACCOMPAGNEMENT AQUITAINE ORIENTATION PERS. ET PROF. TOUT AU LONG VIE,"8,000.00",Locaux
AEP SAINT GABRIEL,800.00,
AES,0.00,Locaux
AFRICAFRANCE,"1,500.00",
AGENCE D'URBANISME BORDEAUX METROPOLE AQUITAINE (A'URBA),"60,000.00",
AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT - ALEC,0.00,Locaux
AGIR POUR UN COMMERCE EQUITABLE ET SOLIDAIRE EN AQUITAINE - ACESA,500.00,
AGORA DES ARTS,"1,500.00","Matériel pour manifestations, locaux"
AIDE AUX AIDANTS DU PAVILLON,"2,000.00",
AIDE AUX MINEURS DEFAVORISES - AAMD,0.00,Locaux
AIDE AUX PARENTS D'ENFANTS SOUFFRANT DU SYNDROME DE L'ANTI-CONVULSIVANT (APESAC),0.00,Locaux
AIDES AQUITAINE,"2,000.00",
AIDOMI,0.00,Locaux
AIGUILLES ET CALAME,0.00,Locaux
AIKIDO BORDEAUX BASTIDE,0.00,Equipements sportifs
AIM ACTIONS INTER MEDIATION,"25,000.00",
AIR 3 (AIR CUBE),0.00,Locaux
AIR ROLLER (ATTENTION INERTIE RENOUVELABLE),"9,000.00","Equipements sportifs, locaux"
AKELIO ACCOMPAGNEMENT (RESEAU JEUNESSE OUTRE MER),0.00,Locaux
ALCHIMYSTIK EVENTS,550.00,
ALGERIENS DE L'AQUITAINE,0.00,Locaux
"ALLIANCE DEPARTEMENT 33, JUSQU'AU BOUT ACCOMPAGNER LA VIE...","5,000.00","Matériel pour manifestations, locaux"
ALLO AMIANTE,0.00,Matériel pour manifestations
ALPHONSE,0.00,Matériel pour manifestations
ALTAIR (ASSOCIATION LES TERRITOIRES DE L'ART DE L'INDIVIDU DE LA RELATION),"1,000.00",
ALTERNATIVE URBAINE DE BORDEAUX,"2,000.00",
AMADEUS,"1,000.00",
AMICALE BORDELAISE TRACTION AVANT CITROEN,0.00,Locaux
AMICALE DE MADAGASCAR (AM),0.00,Locaux
AMICALE DES ANCIENS DE LA LEGION ETRANGERE,"1,000.00",
AMICALE DES ANCIENS DE MARIE-BRIZARD - AAMB,0.00,Locaux
AMICALE DES ANCIENS DES TROUPES DE MARINE DE BORDEAUX ET D'AQUITAINE,500.00,
AMICALE DES ANCIENS GUERILLEROS ESPAGNOLS EN FRANCE-FFI - SECTION DE LA GIRONDE,0.00,Locaux
AMICALE DES AVEYRONNAIS DE BORDEAUX ET GIRONDE,0.00,Locaux
AMICALE DES ETABLISSEMENTS SCOLAIRES LAIQUES DE BACALAN - ALB,"88,869.00","Matériel pour manifestations, équipements sportifs,"
AMICALE DES IVOIRIENS VIVANT EN GIRONDE AKWABA,0.00,Locaux
AMICALE DES LOCATAIRES DU PORT DE LA LUNE,"6,500.00",
AMICALE DES PARACHUTISTES DU SUD-OUEST,300.00,
AMICALE DES PARENTS D'ELEVES DE L'ECOLE STEHELIN,"8,605.00",
AMICALE DES RETRAITES U.G.R.R. - I.S.I.C.A. DE BORDEAUX,0.00,Locaux
AMICALE DES SAPEURS POMPIERS DU SECTEUR D'INTERVENTION DE BORDEAUX METROPOLE,0.00,Matériel pour manifestations
AMICALE DU PATRONAGE LAIQUE ET DU CONSEIL DE PARENTS D'ELEVES DU GROUPE SCOLAIRE NUYENS,0.00,Matériel pour manifestations
AMICALE LAIQUE BORDEAUX BENAUGE,"1,759.00",
AMICALE LAIQUE BORDEAUX CENTRE,"2,500.00","Equipements sportifs, locaux"
AMICALE LAIQUE DAVID JOHNSTON LAGRANGE ALBERT BARRAUD NAUJAC,"389,346.00",
AMICALE LAIQUE DU GROUPE SCOLAIRE LEONARD-LENOIR - MONTAUD - NUITS,0.00,Equipements sportifs
AMIS D'ARS ET FIDES BORDEAUX,"2,000.00","Matériel pour manifestations, locaux"
AMIS DE L'HOTEL DE LALANDE,"2,434.58",
AMIS DE L'ORCHESTRE D'HARMONIE DE BORDEAUX,"4,000.00",
AMIS DU CAPC MUSEE,0.00,Matériel pour manifestations
AMIS DU SCOUTISME EUROPEEN DE GIRONDE,"2,250.00",
"AMITIE MULTICULTURELLE INTEGRATION SOCIO-ECONOMIQUE, PROMOTION, ANIMATION, DEVELOPPEMENT (AMISPAD)",0.00,Locaux
AMITIES FRANCAISES,0.00,Locaux
AMITIES GENEALOGIQUES BORDELAISES,0.00,Locaux
AMNESTY INTERNATIONAL GROUPE 234 DE BORDEAUX CENTRE,0.00,Locaux
AMOS,"15,000.00",
ANCIENS BASTIDIENS-CLUB,0.00,Locaux
ANIMATIONS VILLAGE SAINT-SEURIN,0.00,"Matériel pour manifestations, locaux"
ANPAA - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET EN ADDICTOLOGIE,"10,000.00",Locaux
ANTROPOLOGIA,0.00,Locaux
APA SANTE NUTRITION,"1,512.00",
APEL ASSOMPTION SAINTE CLOTIDE,700.00,
APNEE 33,0.00,Equipements sportifs
APOSTROPHE Z,"1,200.00",Locaux
APPEL DES CENT POUR LA PAIX COLLECTIF BORDELAIS,0.00,"Matériel pour manifestations, locaux"
APPRENDRE AVEC MONTESSORI AUJOURD'HUI,0.00,Locaux
APPRENTISSA'JEU,"1,000.00",
APSARAS,"8,000.00",
AQUATIC BORDEAUX CAUDERAN CLUB - AB2C,0.00,"Equipements sportifs, locaux"
AQUINUM - ASSOCIATION DES PROFESSIONNELS DU NUMERIQUE EN AQUITAINE,"21,000.00",
AQUITAINE ACTIVE,"7,500.00",Locaux
AQUITAINE AFRIQUE INITIATIVES (AQAFI),0.00,Locaux
AQUITAINE ARTISTIQUE ANIMATION,0.00,Matériel pour manifestations
AQUITAINE CULTURE,"1,000.00",
AQUITAINE PARTAGE,"2,500.00",Matériel pour manifestations
AQUITAINE SPORT POUR TOUS,0.00,Matériel pour manifestations
AQUITEC,"9,000.00",Matériel pour manifestations
ARC EN REVE,"481,688.00","Communication, matériel pour manifestations, locaux"
ARC'ANGECIEL VOYAGES,0.00,Locaux
ARCH-EVENT,0.00,Matériel pour manifestations
ARCHIMUSE - BORDEAUX,800.00,"Matériel pour manifestations, locaux"
ARCHITECTURE ET MAITRE D'OUVRAGES AQUITAINE - AMO AQUITAINE,0.00,Locaux
ARELABOR,0.00,Locaux
ART DN,0.00,"Matériel pour manifestations, locaux"
ART EN ACTION - TIC-TAC THEATRE,0.00,Locaux
ART ET TECHNIQUES MIXTES,0.00,Locaux
ART PASTEL,0.00,Matériel pour manifestations
ART+ENTREPRISE/ARRET SUR L'IMAGE GALERIE,"6,000.00",
ARTAMBUL,0.00,Matériel pour manifestations
ARTELI,"3,000.00",
ARTELIERS - ASSO REGION. TRAVAIL EXPRESSION LIBRE INADAPTES POUR EPANOUISSEMENT RECONNAISS. SOCIALE,0.00,"Matériel pour manifestations, locaux"
ARTIMAGE,0.00,Locaux
ARTISANS DU MONDE BORDEAUX,0.00,"Matériel pour manifestations, locaux"
ARTQUIPAGE,0.00,Matériel pour manifestations
ARTS ET COMMUNICATION DU MONDE - ACM,0.00,"Matériel pour manifestations, locaux"
ARTS ET LETTRES DE FRANCE ASSOCIATION CULTURELLE INTERNATIONALE,0.00,"Matériel pour manifestations, locaux"
ARTS ET SCIENCES,0.00,Locaux
ARTS MARTIAUX ET BIEN ETRE,0.00,Equipements sportifs
ARTS MARTIAUX SHAOLIN BORDEAUX,700.00,Equipements sportifs
ARTS MARTIAUX TRADITIONNELS BORDELAIS,0.00,Equipements sportifs
ARTYCHAUDS,0.00,Locaux
ASC BNP PARIBAS BX TT,0.00,Equipements sportifs
ASOBU ASSOCIATION (ASOBU),0.00,Locaux
ASPER 33,0.00,Locaux
ASS-TECH (ASSOCIATION DES ETUDIANTS DE TECHNIQUES DU DEVELOPPEMENT),"1,410.00",Locaux
ASSIETTE EN TRANSITION,300.00,"Matériel pour manifestations, locaux"
ASSO GAMBETTA,"1,728.00",Communication
ASSO GENERALE INTERVENANTS RETRAITES POUR ACTIONS BENEVOLES COOPERATION ET DEVELOPPEMENT - AGIRabcd,0.00,Locaux
ASSO PARENTS ELEVES ENSEIGNEMENT LIBRE SAINT-MICHEL/SAINT-GENES (APEL SAINT-MICHEL/SAINT-GENES),0.00,Locaux
ASSOCIATION 2C.SPORTS,0.00,Equipements sportifs
ASSOCIATION ACCORDS LIBRES,0.00,Matériel pour manifestations
ASSOCIATION ALBERT BARRAUD,"1,000.00",
ASSOCIATION ALCHIMIST,"16,000.00",Matériel pour manifestations
ASSOCIATION AUDITEURS INSTITUT HAUTES ETUDES DE DEFENSE NATIONALE REGION AQUITAINE - AQUI IHEDN,800.00,Locaux
ASSOCIATION AUTONOME DES PARENTS D'ELEVES DE BORDEAUX : ECOLES JEAN COCTEAU,"2,500.00",
ASSOCIATION BI-IZARRAK (LES DEUX ETOILES),0.00,Locaux
ASSOCIATION BORDEAUX - USA,0.00,Matériel pour manifestations
ASSOCIATION BORDEAUX CULTURE GRAPPLING (ABC GRAPPLING),0.00,Equipements sportifs
ASSOCIATION BORDEAUX GAMES,"3,220.00",
ASSOCIATION BORDEAUX-COMPOSTELLE HOSPITALITE SAINT-JACQUES,"3,000.00",Locaux
ASSOCIATION BORDEAUX-TANESSE,500.00,
ASSOCIATION BORDELAISE DE TAEKWONDO INTERNATIONAL ATLANTICA,0.00,Equipements sportifs
ASSOCIATION BRINS D'EVEIL,"532,800.00",
ASSOCIATION BULGARE CULTURELLE - ABC,0.00,Locaux
ASSOCIATION CLUB AMBASSADORS DE LA TRUFFE,0.00,Matériel pour manifestations
ASSOCIATION COEXISTER,0.00,Locaux
ASSOCIATION COMUNIDAD,0.00,Locaux
ASSOCIATION CONTRE LA TUBERCULOSE ET LES MALADIES ENDEMIQUES - ACTUME,0.00,Locaux
ASSOCIATION COOPERATIVE DES ETUDIANTS EN PHARMACIE DE BORDEAUX - ACEPB,0.00,Matériel pour manifestations
ASSOCIATION CREMATISTE DE LA GIRONDE,0.00,Matériel pour manifestations
ASSOCIATION CULTURE ET MUSIQUE DE L'ESTUAIRE,0.00,Locaux
ASSOCIATION CULTURELLE ARMENIENNE DE BORDEAUX AQUITAINE,0.00,Matériel pour manifestations
ASSOCIATION CULTURELLE DES ALEVIS DE GIRONDE,0.00,Locaux
ASSOCIATION CULTURELLE DES ELEVES DU LYCEE MONTESQUIEU - ACELM,0.00,Locaux
ASSOCIATION CULTURELLE DES KABYLES DE BORDEAUX (ACKB),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,"8,800.00","Matériel pour manifestations, locaux"
ASSOCIATION CULTURELLE ET TRADITIONNELLE DE GIRONDE - ACT 33,"2,700.00","Matériel pour manifestations, locaux"
ASSOCIATION D'AMITIE FRANCO-VIETNAMIENNE (AAFV),0.00,Locaux
"ASSOCIATION DANSE, ANIMATION DE LA GIRONDE - ADAGE",0.00,Matériel pour manifestations
ASSOCIATION DAVID ET JONATHAN,0.00,Locaux
ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,0.00,Matériel pour manifestations
ASSOCIATION DE DEFENSE DES INTERETS DU QUARTIER DE BACALAN - ADIQ,300.00,Locaux
ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN AQUITAINE - ADMAA (ALLEZ LES FILLES),"35,374.00","Communication, matériel pour manifestations"
ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE (ADREGA),0.00,Locaux
ASSOCIATION DE DEVELOPPEMENT NATUREL (ADN),0.00,Locaux
ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR - AFTC AVENIR,0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F. (AGEAC/CSF),"522,000.00",
ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,0.00,Locaux
ASSOCIATION DE L'ENSEIGNEMENT CATHOLIQUE DE GIRONDE,0.00,Locaux
ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,0.00,Locaux
ASSOCIATION DE LA RUE NOTRE DAME DES CHARTRONS,"1,000.00","Matériel pour manifestations, locaux"
ASSOCIATION DE PREFIGURATION D'UNE PLATEFORME D'AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DE RECHERCHE CLINIQUE SUR L'ADOLESCENCE -ARCAD-,0.00,Locaux
ASSOCIATION DE RIVERAINS BAST-ID,0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES - BORDEAUX (ASTI BORDEAUX),"5,000.00",Locaux
ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX (ASEB),0.00,Locaux
ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),"4,000.00","Matériel pour manifestations, locaux"
"ASSOCIATION DE SPORTS, DE CULTURE ET D'ENTRAIDE DE LA GIRONDE",0.00,Equipements sportifs
ASSOCIATION DECOUVERTE VACANCES EQUILIBRE,0.00,Locaux
ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,0.00,Locaux
ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,400.00,Locaux
ASSOCIATION DEPARTEMENTALE DES ANCIENS COMBATTANTS ET AMIS DE L'INDOCHINE,0.00,Locaux
ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,0.00,Locaux
ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L’ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEP 33,0.00,Locaux
ASSOCIATION DEPARTEMENTALE POUR INFORMATION AU LOGEMENT 33 - ADIL33,"3,030.00",
ASSOCIATION DES AMIS D'ELIANE LAVAIL,0.00,Locaux
ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,"6,782.00",Matériel pour manifestations
ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - ACAQB,"8,035,091.00","Communication, matériel pour manifestations,"
ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION BORDEAUX,0.00,Locaux
"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC"" BORDEAUX-TALENCE","4,400.00",
ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT-AMAND,"10,100.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,"4,880.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,"3,750.00",
ASSOCIATION DES COMMERCANTS DE LA RUE JJ ROUSSEAU,0.00,
ASSOCIATION DES COMMERCANTS DE LA RUE SAINT-SERNIN,450.00,
ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,"7,601.00","Matériel pour manifestations, locaux"
ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL MERIADECK,"4,400.00",
ASSOCIATION DES COMMERCANTS DU GRAND PARC,"9,000.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER SAINT MICHEL,"4,500.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS LES BERGES DU LAC,"4,000.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER VICTOIRE,"11,000.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ORNANO - GAVINIES - ST VICTOR,"3,500.00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS RUE VOLTAIRE,"2,670.00",
ASSOCIATION DES COREENS DE BORDEAUX (ACB),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON DE SANTE MARIE GALENE,0.00,Matériel pour manifestations
ASSOCIATION DES DOCKERS ET DES TRAVAILLEURS PORTUAIRES VICTIMES DE L'AMIANTE DU PORT DE BORDEAUX,0.00,Locaux
ASSOCIATION DES DONNEURS DE VOIX,"1,000.00",Locaux
ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE - REGION AQUITAINE,"2,500.00",
ASSOCIATION DES ELEVES-AVOCATS ALIENOR 2017 (ADEAA 2017),0.00,Locaux
ASSOCIATION DES ETUDIANTS ET RESSORTISSANTS MAURITANIENS DE GIRONDE (AERMG),0.00,Locaux
ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,0.00,Locaux
ASSOCIATION DES EXPLOITANTS QUAI DES MARQUES BORDEAUX,"4,400.00",Matériel pour manifestations
ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIER D'AQUITAINE - AGICA,0.00,Locaux
ASSOCIATION DES LOCATAIRES SEM-LM,0.00,Locaux
ASSOCIATION DES MEDECINS RETRAITES ET DES VEUVES ALLOCATAIRES DE LA CARMF DITE AMEREVE AQUITAINE,0.00,Locaux
ASSOCIATION DES MUSULMANS DE LA GIRONDE,0.00,Locaux
ASSOCIATION DES OEUVRES GIRONDINES DE PROTECTION DE L'ENFANCE,0.00,Locaux
ASSOCIATION DES OFFICIERS ET CADRES DE RESERVE DE BORDEAUX GIRONDE,0.00,Locaux
ASSOCIATION DES PARALYSES DE FRANCE - APF,"3,200.00",Matériel pour manifestations
ASSOCIATION DES PARENTS ET FUTURS PARENTS GAYS ET LESBIENS APGL,0.00,Locaux
ASSOCIATION DES PIEGEURS DE LA PRESQU'ILE D'AMBES,0.00,Matériel pour manifestations
ASSOCIATION DES PRODUCTEURS DE GRAVES DE VAYRES,0.00,Matériel pour manifestations
ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA COMMUNICATION (APACOM),0.00,Locaux
ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,0.00,Locaux
ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (ARIA),0.00,"Matériel pour manifestations, locaux"
ASSOCIATION DES RIVERAINS DE L'IMPASSE GOURDIN,"1,000.00",Locaux
ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,"1,000.00",Matériel pour manifestations
ASSOCIATION DES RIVERAINS DU QUARTIER SAINT GENES,0.00,Matériel pour manifestations
ASSOCIATION DORSA BARLOW,"7,000.00",
ASSOCIATION DU COMITE DES OEUVRES SOCIALES DES MUNICIPAUX DE BORDEAUX - ACOSMB,"380,000.00",
ASSOCIATION DU FLOCON A LA VAGUE,0.00,Matériel pour manifestations
ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,"28,500.00",Locaux
ASSOCIATION DU PARC D'ACTIVITE DE BORDEAUX NORD,"2,800.00",
ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,"5,000.00",
ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE BORDEAUX,0.00,Equipements sportifs
ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,0.00,Matériel pour manifestations
ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),0.00,Equipements sportifs
ASSOCIATION EKOLO[GEEK],"1,400.00",
ASSOCIATION ELEVES INGENIEURS ARTS METIERS PARIS-TECH CENTRE REGIONAL BORDEAUX TALENCE - AE ENSAM,0.00,Matériel pour manifestations
ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE PIERRE,"7,000.00",Locaux
ASSOCIATION ESPACE 33,"1,500.00",
ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,0.00,Locaux
ASSOCIATION FAIS ET REVE,"1,100.00",
ASSOCIATION FAMILIALE LAIQUE BASTIDE,"3,000.00",
ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,"26,600.00",Locaux
ASSOCIATION FRANCAISE CONTRE LES MYOPATHIES - AFM,0.00,Communication
ASSOCIATION FRANCAISE DE L'ECLAIRAGE - CENTRE REGIONAL SUD-OUEST ATLANTIQUE,0.00,Matériel pour manifestations
ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,0.00,Locaux
ASSOCIATION FRANCAISE DES JURISTES D'ENTREPRISE - AFJE,0.00,Locaux
ASSOCIATION FRANCAISE DES MALADES DE LA THYROIDE,0.00,Locaux
ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE L'EQUILIBRE - AFBRE,0.00,Equipements sportifs
ASSOCIATION FRANCO-KURDE,0.00,Equipements sportifs
ASSOCIATION FRANCO-TCHEQUE D'AQUITAINE,0.00,Matériel pour manifestations
"ASSOCIATION FRANCO-VIETNAMIENNE, BORDEAUX-AQUITAINE","2,000.00",Locaux
ASSOCIATION FRANCOIS AUPETIT,0.00,Locaux
ASSOCIATION FRERES DES HOMMES,0.00,Locaux
ASSOCIATION GENERALE DES ENSEIGNANTS DES ECOLES ET CLASSES MATERNELLES PUBLIQUES,0.00,Locaux
ASSOCIATION GENERALE DES LOCATAIRES,0.00,Locaux
ASSOCIATION GENERATION DUPATY,"10,623.00",Equipements sportifs
ASSOCIATION GESTION CENTRES PSYCHANALYTIQUES DE CONSULTATIONS ET DE TRAITEMENT (CPCT) D'AQUITAINE,"3,000.00",Locaux
ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE PREVENTION SOCIALE - AGEP,"45,000.00",Locaux
