INSEE;LIBCOM;IRIS;ZONE;LIB_ZONE
33063;BORDEAUX;330630309;01;Zone 1
33063;BORDEAUX;330630310;01;Zone 1
33063;BORDEAUX;330630311;01;Zone 1
33063;BORDEAUX;330630501;01;Zone 1
33063;BORDEAUX;330630503;01;Zone 1
33063;BORDEAUX;330630504;01;Zone 1
33063;BORDEAUX;330630505;01;Zone 1
33063;BORDEAUX;330630506;01;Zone 1
33063;BORDEAUX;330630507;01;Zone 1
33063;BORDEAUX;330630508;01;Zone 1
33063;BORDEAUX;330630601;01;Zone 1
33063;BORDEAUX;330630602;01;Zone 1
33063;BORDEAUX;330630605;01;Zone 1
33063;BORDEAUX;330630606;01;Zone 1
33063;BORDEAUX;330630608;01;Zone 1
33063;BORDEAUX;330630609;01;Zone 1
33063;BORDEAUX;330630702;01;Zone 1
33063;BORDEAUX;330631002;01;Zone 1
33063;BORDEAUX;330631004;01;Zone 1
33063;BORDEAUX;330631005;01;Zone 1
33063;BORDEAUX;330631102;01;Zone 1
33063;BORDEAUX;330631106;01;Zone 1
33063;BORDEAUX;330631107;01;Zone 1
33063;BORDEAUX;330631201;01;Zone 1
33063;BORDEAUX;330631202;01;Zone 1
33069;LE BOUSCAT;330690102;01;Zone 1
33069;LE BOUSCAT;330690107;01;Zone 1
33522;TALENCE;335220101;01;Zone 1
33522;TALENCE;335220103;01;Zone 1
33522;TALENCE;335220107;01;Zone 1
33063;BORDEAUX;330630302;02;Zone 2
33063;BORDEAUX;330630308;02;Zone 2
33063;BORDEAUX;330630312;02;Zone 2
33063;BORDEAUX;330630502;02;Zone 2
33063;BORDEAUX;330630603;02;Zone 2
33063;BORDEAUX;330630604;02;Zone 2
33063;BORDEAUX;330630607;02;Zone 2
33063;BORDEAUX;330630703;02;Zone 2
33063;BORDEAUX;330630704;02;Zone 2
33063;BORDEAUX;330630804;02;Zone 2
33063;BORDEAUX;330630806;02;Zone 2
33063;BORDEAUX;330630809;02;Zone 2
33063;BORDEAUX;330630903;02;Zone 2
33063;BORDEAUX;330630904;02;Zone 2
33063;BORDEAUX;330631001;02;Zone 2
33063;BORDEAUX;330631003;02;Zone 2
33063;BORDEAUX;330631006;02;Zone 2
33063;BORDEAUX;330631103;02;Zone 2
33063;BORDEAUX;330631108;02;Zone 2
33063;BORDEAUX;330631203;02;Zone 2
33063;BORDEAUX;330631204;02;Zone 2
33063;BORDEAUX;330631205;02;Zone 2
33063;BORDEAUX;330631206;02;Zone 2
33063;BORDEAUX;330631209;02;Zone 2
33063;BORDEAUX;330631302;02;Zone 2
33069;LE BOUSCAT;330690101;02;Zone 2
33069;LE BOUSCAT;330690109;02;Zone 2
33281;MERIGNAC;332810102;02;Zone 2
33281;MERIGNAC;332810301;02;Zone 2
33318;PESSAC;333180107;02;Zone 2
33318;PESSAC;333180117;02;Zone 2
33522;TALENCE;335220102;02;Zone 2
33522;TALENCE;335220104;02;Zone 2
33522;TALENCE;335220105;02;Zone 2
33522;TALENCE;335220106;02;Zone 2
33039;BEGLES;330390101;03;Zone 3
33039;BEGLES;330390102;03;Zone 3
33039;BEGLES;330390103;03;Zone 3
33039;BEGLES;330390107;03;Zone 3
33063;BORDEAUX;330630101;03;Zone 3
33063;BORDEAUX;330630301;03;Zone 3
33063;BORDEAUX;330630307;03;Zone 3
33063;BORDEAUX;330630313;03;Zone 3
33063;BORDEAUX;330630401;03;Zone 3
33063;BORDEAUX;330630402;03;Zone 3
33063;BORDEAUX;330630403;03;Zone 3
33063;BORDEAUX;330630701;03;Zone 3
33063;BORDEAUX;330630705;03;Zone 3
33063;BORDEAUX;330630706;03;Zone 3
33063;BORDEAUX;330630801;03;Zone 3
33063;BORDEAUX;330630802;03;Zone 3
33063;BORDEAUX;330630803;03;Zone 3
33063;BORDEAUX;330630805;03;Zone 3
33063;BORDEAUX;330630807;03;Zone 3
33063;BORDEAUX;330630808;03;Zone 3
33063;BORDEAUX;330630901;03;Zone 3
33063;BORDEAUX;330630902;03;Zone 3
33063;BORDEAUX;330630905;03;Zone 3
33063;BORDEAUX;330631101;03;Zone 3
33063;BORDEAUX;330631104;03;Zone 3
33063;BORDEAUX;330631105;03;Zone 3
33063;BORDEAUX;330631207;03;Zone 3
33063;BORDEAUX;330631208;03;Zone 3
33063;BORDEAUX;330631303;03;Zone 3
33063;BORDEAUX;330631305;03;Zone 3
33069;LE BOUSCAT;330690103;03;Zone 3
33069;LE BOUSCAT;330690106;03;Zone 3
33069;LE BOUSCAT;330690108;03;Zone 3
33075;BRUGES;;03;Zone 3
33122;CESTAS;;03;Zone 3
33192;GRADIGNAN;;03;Zone 3
33273;MARTIGNAS-SUR-JALLE;;03;Zone 3
33281;MERIGNAC;332810103;03;Zone 3
33281;MERIGNAC;332810104;03;Zone 3
33281;MERIGNAC;332810202;03;Zone 3
33281;MERIGNAC;332810203;03;Zone 3
33281;MERIGNAC;332810601;03;Zone 3
33281;MERIGNAC;332810701;03;Zone 3
33281;MERIGNAC;332810801;03;Zone 3
33281;MERIGNAC;332811101;03;Zone 3
33281;MERIGNAC;332811201;03;Zone 3
33318;PESSAC;333180103;03;Zone 3
33318;PESSAC;333180104;03;Zone 3
33318;PESSAC;333180105;03;Zone 3
33318;PESSAC;333180106;03;Zone 3
33318;PESSAC;333180109;03;Zone 3
33318;PESSAC;333180110;03;Zone 3
33318;PESSAC;333180111;03;Zone 3
33318;PESSAC;333180112;03;Zone 3
33318;PESSAC;333180113;03;Zone 3
33318;PESSAC;333180115;03;Zone 3
33318;PESSAC;333180116;03;Zone 3
33318;PESSAC;333180118;03;Zone 3
33318;PESSAC;333180123;03;Zone 3
33318;PESSAC;333180124;03;Zone 3
33376;SAINT-AUBIN-DE-MEDOC;;03;Zone 3
33449;SAINT-MEDARD-EN-JALLES;;03;Zone 3
33522;TALENCE;335220109;03;Zone 3
33522;TALENCE;335220110;03;Zone 3
33039;BEGLES;330390105;04;Zone 4
33039;BEGLES;330390106;04;Zone 4
33039;BEGLES;330390108;04;Zone 4
33039;BEGLES;330390109;04;Zone 4
33063;BORDEAUX;330630103;04;Zone 4
33063;BORDEAUX;330630201;04;Zone 4
33063;BORDEAUX;330630202;04;Zone 4
33063;BORDEAUX;330630203;04;Zone 4
33063;BORDEAUX;330630204;04;Zone 4
33063;BORDEAUX;330630303;04;Zone 4
33063;BORDEAUX;330630305;04;Zone 4
33063;BORDEAUX;330630306;04;Zone 4
33063;BORDEAUX;330630404;04;Zone 4
33063;BORDEAUX;330630405;04;Zone 4
33063;BORDEAUX;330631301;04;Zone 4
33063;BORDEAUX;330631304;04;Zone 4
33065;BOULIAC;;04;Zone 4
33069;LE BOUSCAT;330690104;04;Zone 4
33069;LE BOUSCAT;330690105;04;Zone 4
33080;CADAUJAC;;04;Zone 4
33090;CANEJAN;;04;Zone 4
33119;CENON;331190103;04;Zone 4
33119;CENON;331190104;04;Zone 4
33119;CENON;331190108;04;Zone 4
33119;CENON;331190109;04;Zone 4
33162;EYSINES;;04;Zone 4
33167;FLOIRAC;;04;Zone 4
33200;LE HAILLAN;;04;Zone 4
33238;LEOGNAN;;04;Zone 4
33281;MERIGNAC;332810101;04;Zone 4
33281;MERIGNAC;332810302;04;Zone 4
33281;MERIGNAC;332810401;04;Zone 4
33281;MERIGNAC;332810402;04;Zone 4
33281;MERIGNAC;332810501;04;Zone 4
33281;MERIGNAC;332810502;04;Zone 4
33281;MERIGNAC;332811002;04;Zone 4
33281;MERIGNAC;332811003;04;Zone 4
33281;MERIGNAC;332811401;04;Zone 4
33318;PESSAC;333180102;04;Zone 4
33318;PESSAC;333180108;04;Zone 4
33318;PESSAC;333180119;04;Zone 4
33318;PESSAC;333180120;04;Zone 4
33318;PESSAC;333180121;04;Zone 4
33318;PESSAC;333180122;04;Zone 4
33422;SAINT-JEAN-D'ILLAC;;04;Zone 4
33522;TALENCE;335220108;04;Zone 4
33522;TALENCE;335220111;04;Zone 4
33522;TALENCE;335220113;04;Zone 4
33550;VILLENAVE-D'ORNON;;04;Zone 4
33003;AMBARES-ET-LAGRAVE;;05;Zone 5
33004;AMBES;;05;Zone 5
33013;ARTIGUES-PRES-BORDEAUX;;05;Zone 5
33015;ARVEYRES;;05;Zone 5
33032;BASSENS;;05;Zone 5
33033;BAURECH;;05;Zone 5
33039;BEGLES;330390104;05;Zone 5
33039;BEGLES;330390110;05;Zone 5
33056;BLANQUEFORT;;05;Zone 5
33061;BONNETAN;;05;Zone 5
33079;CADARSAC;;05;Zone 5
33084;CAMBES;;05;Zone 5
33085;CAMBLANES-ET-MEYNAC;;05;Zone 5
33096;CARBON-BLANC;;05;Zone 5
33099;CARIGNAN-DE-BORDEAUX;;05;Zone 5
33118;CENAC;;05;Zone 5
33119;CENON;331190101;05;Zone 5
33119;CENON;331190102;05;Zone 5
33119;CENON;331190105;05;Zone 5
33119;CENON;331190106;05;Zone 5
33119;CENON;331190107;05;Zone 5
33165;FARGUES-SAINT-HILAIRE;;05;Zone 5
33207;IZON;;05;Zone 5
33226;LANGOIRAN;;05;Zone 5
33234;LATRESNE;;05;Zone 5
33241;LESTIAC-SUR-GARONNE;;05;Zone 5
33245;LIGNAN-DE-BORDEAUX;;05;Zone 5
33249;LORMONT;;05;Zone 5
33274;MARTILLAC;;05;Zone 5
33281;MERIGNAC;332810201;05;Zone 5
33281;MERIGNAC;332810901;05;Zone 5
33281;MERIGNAC;332811301;05;Zone 5
33281;MERIGNAC;332811501;05;Zone 5
33281;MERIGNAC;332811502;05;Zone 5
33281;MERIGNAC;332811503;05;Zone 5
33281;MERIGNAC;332811504;05;Zone 5
33293;MONTUSSAN;;05;Zone 5
33303;NERIGEAN;;05;Zone 5
33311;PAILLET;;05;Zone 5
33312;PAREMPUYRE;;05;Zone 5
33322;LE PIAN-MEDOC;;05;Zone 5
33330;POMPIGNAC;;05;Zone 5
33349;QUINSAC;;05;Zone 5
33381;SAINT-CAPRAIS-DE-BORDEAUX;;05;Zone 5
33397;SAINTE-EULALIE;;05;Zone 5
33433;SAINT-LOUBES;;05;Zone 5
33434;SAINT-LOUIS-DE-MONTFERRAND;;05;Zone 5
33448;SAINT-MEDARD-D'EYRANS;;05;Zone 5
33466;SAINT-QUENTIN-DE-BARON;;05;Zone 5
33483;SAINT-SULPICE-ET-CAMEYRAC;;05;Zone 5
33487;SAINT-VINCENT-DE-PAUL;;05;Zone 5
33496;SALLEBOEUF;;05;Zone 5
33518;TABANAC;;05;Zone 5
33519;LE TAILLAN-MEDOC;;05;Zone 5
33522;TALENCE;335220112;05;Zone 5
33534;LE TOURNE;;05;Zone 5
33535;TRESSES;;05;Zone 5
33539;VAYRES;;05;Zone 5
33554;YVRAC;;05;Zone 5
