date,title,guest,link,transcript_file,word_count,slug,has_transcript
2024-01-06,Aliya Itzkowitz & Sam Gould (Part One): Insights from FT Strategies' AI Design Sprint Day,Aliya Itzkowitz & Sam Gould (Part One),https://shows.acast.com/newsroomrobots/episodes/aliya-itzkowitz-sam-gould-ai-design-sprint-ft-strategies,2024-01-06 - Aliya Itzkowitz & Sam Gould (Part One) Insights from FT Strategies' AI Design Sprint Day.txt,5900,2024-01-06-aliya-itzkowitz-sam-gould-part-one-insights-from-ft-strategi,True
2024-01-16,Aliya Itzkowitz and Sam Gould (Part Two): Potential of Multimodal AI and Autonomous AI Agents in Publishing,Aliya Itzkowitz and Sam Gould (Part Two),https://shows.acast.com/newsroomrobots/episodes/aliya-itzkowitz-sam-gould-ft-strategies-multimodal-ai-agents,2024-01-16 - Aliya Itzkowitz and Sam Gould (Part Two) Potential of Multimodal AI and Autonomous AI Agents in Publishing.txt,5831,2024-01-16-aliya-itzkowitz-and-sam-gould-part-two-potential-of-multimod,True
2024-01-23,Jeff Jarvis (Part One): Should AI have the ‘right to read’ news like humans do?,Jeff Jarvis (Part One),https://shows.acast.com/newsroomrobots/episodes/jeff-jarvis-should-ai-have-the-right-to-read-news-like-human,2024-01-23 - Jeff Jarvis (Part One) Should AI have the ‘right to read’ news like humans do.txt,6590,2024-01-23-jeff-jarvis-part-one-should-ai-have-the-right-to-read-news-l,True
2024-02-01,Jeff Jarvis (Part Two): Rethinking the journalism business model in the age of AI,Jeff Jarvis (Part Two),https://shows.acast.com/newsroomrobots/episodes/rethinking-the-journalism-business-model-ai-jeff-jarvis,2024-02-01 - Jeff Jarvis (Part Two) Rethinking the journalism business model in the age of AI.txt,5619,2024-02-01-jeff-jarvis-part-two-rethinking-the-journalism-business-mode,True
2024-02-09,Alessandro Alviani (Part One): Building AI Products with an Editor-Centric Approach,Alessandro Alviani (Part One),https://shows.acast.com/newsroomrobots/episodes/alessandro-alviani-part-one-building-ai-products-with-an-edi,2024-02-09 - Alessandro Alviani (Part One) Building AI Products with an Editor-Centric Approach.txt,3605,2024-02-09-alessandro-alviani-part-one-building-ai-products-with-an-edi,True
2024-02-17,How Germany’s Ippen Digital is Fine-Tuning Large Language Models for Their Newsroom,,https://shows.acast.com/newsroomrobots/episodes/how-germanys-ippen-digital-is-fine-tuning-large-language-mod,2024-02-17 - How Germany’s Ippen Digital is Fine-Tuning Large Language Models for Their Newsroom.txt,6173,2024-02-17-how-germanys-ippen-digital-is-fine-tuning-large-language-mod,True
2024-03-02,Craig Newmark: Philanthropy's Role in Supporting Journalism in the AI Era,Craig Newmark,https://shows.acast.com/newsroomrobots/episodes/craig-newmark-philanthropys-role-in-supporting-journalism-in,2024-03-02 - Craig Newmark Philanthropy's Role in Supporting Journalism in the AI Era.txt,4267,2024-03-02-craig-newmark-philanthropys-role-in-supporting-journalism-in,True
2024-03-14,Ezra Eeman: Navigating the AI Frontier at the Dutch Public Broadcaster NPO,Ezra Eeman,https://www.newsroomrobots.com/,2024-03-14 - Ezra Eeman Navigating the AI Frontier at the Dutch Public Broadcaster NPO.txt,6501,2024-03-14-ezra-eeman-navigating-the-ai-frontier-at-the-dutch-public-br,True
2024-03-29,Florent Daudens: Building an AI-Literate Newsroom at Radio Canada,Florent Daudens,https://shows.acast.com/newsroomrobots/episodes/florent-daudens-building-ai-newsroom-radio-canada-cbc,2024-03-29 - Florent Daudens Building an AI-Literate Newsroom at Radio Canada.txt,10391,2024-03-29-florent-daudens-building-an-ai-literate-newsroom-at-radio-ca,True
2024-05-01,Mattia Peretti: Balancing AI Innovation with Journalistic Integrity,Mattia Peretti,https://shows.acast.com/newsroomrobots/episodes/mattia-peretti-balancing-ai-innovation-with-journalistic-int,2024-05-01 - Mattia Peretti Balancing AI Innovation with Journalistic Integrity.txt,7394,2024-05-01-mattia-peretti-balancing-ai-innovation-with-journalistic-int,True
2024-05-26,Adrian Gill: How AI Image Generation is Revolutionizing the Graphic Design Industry,Adrian Gill,https://www.newsroomrobots.com/,2024-05-26 - Adrian Gill How AI Image Generation is Revolutionizing the Graphic Design Industry.txt,7715,2024-05-26-adrian-gill-how-ai-image-generation-is-revolutionizing-the-g,True
2024-06-05,Jaemark Tordecilla: Unlocking the Potential of Custom GPTs for Newsrooms,Jaemark Tordecilla,https://www.newsroomrobots.com/,2024-06-05 - Jaemark Tordecilla Unlocking the Potential of Custom GPTs for Newsrooms.txt,5240,2024-06-05-jaemark-tordecilla-unlocking-the-potential-of-custom-gpts-fo,True
2024-06-19,Ole Reissmann: Revolutionizing a Legacy Newsroom with AI at Germany's Der Spiegel,Ole Reissmann,https://www.newsroomrobots.com/,2024-06-19 - Ole Reissmann Revolutionizing a Legacy Newsroom with AI at Germany's Der Spiegel.txt,8873,2024-06-19-ole-reissmann-revolutionizing-a-legacy-newsroom-with-ai-at-g,True
2024-07-08,Garance Burke: A Journalist's Guide to Investigating Artificial Intelligence,Garance Burke,https://www.newsroomrobots.com/,2024-07-08 - Garance Burke A Journalist's Guide to Investigating Artificial Intelligence.txt,6975,2024-07-08-garance-burke-a-journalists-guide-to-investigating-artificia,True
2024-07-24,Natali Helberger: Audience-Centric Approaches to AI Ethics in Media,Natali Helberger,https://shows.acast.com/newsroomrobots/episodes/natali-helberger-a-roadmap-to-responsible-ai-adoption-in-new,2024-07-24 - Natali Helberger Audience-Centric Approaches to AI Ethics in Media.txt,7371,2024-07-24-natali-helberger-audience-centric-approaches-to-ai-ethics-in,True
2024-08-09,Congresswoman Anna Eshoo: Shaping the Future of AI Policy,Congresswoman Anna Eshoo,https://shows.acast.com/newsroomrobots/episodes/congresswoman-anna-eshoo-shaping-the-future-of-ai-policy,2024-08-09 - Congresswoman Anna Eshoo Shaping the Future of AI Policy.txt,1616,2024-08-09-congresswoman-anna-eshoo-shaping-the-future-of-ai-policy,True
2024-09-02,Your Questions Answered: A Live Q&A Session in Collaboration with the Online News Association,Your Questions Answered,https://shows.acast.com/newsroomrobots/episodes/your-questions-answered-a-live-qa-session-in-collaboration-w,2024-09-02 - Your Questions Answered A Live Q&A Session in Collaboration with the Online News Association.txt,9975,2024-09-02-your-questions-answered-a-live-qa-session-in-collaboration-w,True
2024-09-12,Martin Schori: The AI Hub Powering Innovation at Sweden’s Aftonbladet,Martin Schori,https://shows.acast.com/newsroomrobots/episodes/martin-schori-the-ai-hub-powering-innovation-at-swedens-afto,2024-09-12 - Martin Schori The AI Hub Powering Innovation at Sweden’s Aftonbladet.txt,8407,2024-09-12-martin-schori-the-ai-hub-powering-innovation-at-swedens-afto,True
2024-10-23,"Ritvvij Parrikh: Personalization Vs. Editorial Judgment? At The Times of India, You Can Have Both",Ritvvij Parrikh,https://www.newsroomrobots.com/,"2024-10-23 - Ritvvij Parrikh Personalization Vs. Editorial Judgment At The Times of India, You Can Have Both.txt",7281,2024-10-23-ritvvij-parrikh-personalization-vs-editorial-judgment-at-the,True
2024-11-27,Agnes Stenbom: Reimagining News Through the Eyes of Gen Z,Agnes Stenbom,https://www.newsroomrobots.com/p/reimagining-news-through-the-eyes,2024-11-27 - Agnes Stenbom Reimagining News Through the Eyes of Gen Z.txt,7696,2024-11-27-agnes-stenbom-reimagining-news-through-the-eyes-of-gen-z,True
2024-12-27,Upasna Gautam: The Product Manager's Guide to AI in News,Upasna Gautam,https://www.newsroomrobots.com/,2024-12-27 - Upasna Gautam The Product Manager's Guide to AI in News.txt,6295,2024-12-27-upasna-gautam-the-product-managers-guide-to-ai-in-news,True
2025-02-10,"Neil Brown: The Pulitzer Prizes, AI Transparency, and Journalism’s Next Evolution",Neil Brown,https://www.newsroomrobots.com/p/neil-brown-pulitzer-prize-ai-use-in-journalism-poynter-institute,"2025-02-10 - Neil Brown The Pulitzer Prizes, AI Transparency, and Journalism’s Next Evolution.txt",7417,2025-02-10-neil-brown-the-pulitzer-prizes-ai-transparency-and-journalis,True
2025-02-18,Rune Ytreberg & Lars Adrian Giske: Building AI Tools for Investigative Journalism in Local News,Rune Ytreberg & Lars Adrian Giske,https://www.newsroomrobots.com/p/building-ai-tools-for-investigative,2025-02-18 - Rune Ytreberg & Lars Adrian Giske Building AI Tools for Investigative Journalism in Local News.txt,8131,2025-02-18-rune-ytreberg-lars-adrian-giske-building-ai-tools-for-invest,True
2025-03-03,Rune Ytreberg and Lars Adrian Giske: How iTromsø is Building an AI-Ready Foundation for News,Rune Ytreberg and Lars Adrian Giske,https://shows.acast.com/newsroomrobots/episodes/rune-ytreberg-and-lars-adrian-giske-how-itroms-is-building-a,2025-03-03 - Rune Ytreberg and Lars Adrian Giske How iTromsø is Building an AI-Ready Foundation for News.txt,8977,2025-03-03-rune-ytreberg-and-lars-adrian-giske-how-itroms-is-building-a,True
2025-03-18,Kasper Lindskow: Building a Scalable AI Infrastructure at Denmark's JP/Politikens Media Group,Kasper Lindskow,https://shows.acast.com/newsroomrobots/episodes/kasper-lindskow-denmark-jppolitikens-media-group-ai-tools,2025-03-18 - Kasper Lindskow Building a Scalable AI Infrastructure at Denmark's JPPolitikens Media Group.txt,12896,2025-03-18-kasper-lindskow-building-a-scalable-ai-infrastructure-at-den,True
2025-05-30,Zach Seward: How a Five-Person AI Team Is Powering Innovation at The New York Times,Zach Seward,https://www.newsroomrobots.com/p/how-a-five-person-ai-team-is-powering,2025-05-30 - Zach Seward How a Five-Person AI Team Is Powering Innovation at The New York Times.txt,9894,2025-05-30-zach-seward-how-a-five-person-ai-team-is-powering-innovation,True
2025-05-30,Cheryl Phillips: How AI Is Uncovering Hidden Stories in Local Government,Cheryl Phillips,https://shows.acast.com/newsroomrobots/episodes/cheryl-phillips-how-ai-hidden-stories-in-local-news,2025-05-30 - Cheryl Phillips How AI Is Uncovering Hidden Stories in Local Government.txt,10538,2025-05-30-cheryl-phillips-how-ai-is-uncovering-hidden-stories-in-local,True
2025-06-24,Gina Chua: Where Journalism’s Value Lives When AI Tells the Story,Gina Chua,https://shows.acast.com/newsroomrobots/episodes/gina-chua-journalisms-value-lives-when-ai-tells-the-story,2025-06-24 - Gina Chua Where Journalism’s Value Lives When AI Tells the Story.txt,10032,2025-06-24-gina-chua-where-journalisms-value-lives-when-ai-tells-the-st,True
2025-07-09,"Fabian Heckenberg, Naja Nielsen & Gard Steiro: The Hard Truths About AI Every Newsroom Leader Can’t Ignore (Recorded Live at Nordic AI in Media Summit 2025)","Fabian Heckenberg, Naja Nielsen & Gard Steiro",https://shows.acast.com/newsroomrobots/episodes/fabian-heckenberg-naja-nielsen-gard-steiro-the-hard-truths-a,"2025-07-09 - Fabian Heckenberg, Naja Nielsen & Gard Steiro The Hard Truths About AI Every Newsroom Leader Can’t Ignore (Recorded Live at Nordic AI in Media Summit 2025).txt",7740,2025-07-09-fabian-heckenberg-naja-nielsen-gard-steiro-the-hard-truths-a,True
2025-07-15,Florent Daudens: How Open-Source AI Puts Newsrooms Back in the Driver’s Seat,Florent Daudens,https://shows.acast.com/newsroomrobots/episodes/florent-daudens-how-open-source-ai-journalism,2025-07-15 - Florent Daudens How Open-Source AI Puts Newsrooms Back in the Driver’s Seat.txt,11136,2025-07-15-florent-daudens-how-open-source-ai-puts-newsrooms-back-in-th,True
2025-08-14,Sara Beykpour: The Next Chapter in News Aggregation,Sara Beykpour,https://shows.acast.com/newsroomrobots/episodes/sara-beykpour-the-next-chapter-in-news-aggregation,2025-08-14 - Sara Beykpour The Next Chapter in News Aggregation.txt,9936,2025-08-14-sara-beykpour-the-next-chapter-in-news-aggregation,True
2025-09-08,Ivar Krustok: How Estonia’s Media Giant Builds AI That Actually Works,Ivar Krustok,https://shows.acast.com/newsroomrobots/episodes/ivar-krustok-delfi-meedia-ai,2025-09-08 - Ivar Krustok How Estonia’s Media Giant Builds AI That Actually Works.txt,12188,2025-09-08-ivar-krustok-how-estonias-media-giant-builds-ai-that-actuall,True
2025-09-08,Djordje Padejski: Why AI Literacy Belongs at the Core of Journalism Education,Djordje Padejski,https://shows.acast.com/newsroomrobots/episodes/djordje-padejski-why-ai-literacy-belongs-at-the-core-of-jour,2025-09-08 - Djordje Padejski Why AI Literacy Belongs at the Core of Journalism Education.txt,8266,2025-09-08-djordje-padejski-why-ai-literacy-belongs-at-the-core-of-jour,True
2025-09-23,Ludwig Siegele: Inside The Economist’s AI Playbook,Ludwig Siegele,https://www.newsroomrobots.com/,2025-09-23 - Ludwig Siegele Inside The Economist’s AI Playbook.txt,8280,2025-09-23-ludwig-siegele-inside-the-economists-ai-playbook,True
2025-10-08,Vilas Dhar: Why the Future of Journalism Is Still Human,Vilas Dhar,https://www.newsroomrobots.com/,2025-10-08 - Vilas Dhar Why the Future of Journalism Is Still Human.txt,9005,2025-10-08-vilas-dhar-why-the-future-of-journalism-is-still-human,True
2025-11-15,Olle Zacharison: How BBC News is Shaping its AI Strategy for the Next Era of Journalism,Olle Zacharison,https://www.newsroomrobots.com/p/how-the-bbc-is-shaping-its-ai-strategy,2025-11-15 - Olle Zacharison How BBC News is Shaping its AI Strategy for the Next Era of Journalism.txt,10928,2025-11-15-olle-zacharison-how-bbc-news-is-shaping-its-ai-strategy-for-,True
2025-11-26,Markus Franz: How Germany's Ippen Digital Is Prototyping the AI-Powered Newsroom of the Future,Markus Franz,https://shows.acast.com/newsroomrobots/episodes/markus-franz-how-germanys-ippen-digital-is-prototyping-the-a,2025-11-26 - Markus Franz How Germany's Ippen Digital Is Prototyping the AI-Powered Newsroom of the Future.txt,8341,2025-11-26-markus-franz-how-germanys-ippen-digital-is-prototyping-the-a,True
2025-12-15,Tav Klitgaard: How Zetland turned a newsroom problem into a global AI business,Tav Klitgaard,https://www.newsroomrobots.com/,2025-12-15 - Tav Klitgaard How Zetland turned a newsroom problem into a global AI business.txt,7579,2025-12-15-tav-klitgaard-how-zetland-turned-a-newsroom-problem-into-a-g,True
2025-12-19,"Jim Friedlich, David Chivers & Matt Boggie: How the Lenfest AI Collaborative placed AI engineers in 10 newsrooms","Jim Friedlich, David Chivers & Matt Boggie",https://shows.acast.com/newsroomrobots/episodes/how-the-lenfest-ai-collaborative-placed-ai-engineers-in-10-n,"2025-12-19 - Jim Friedlich, David Chivers & Matt Boggie How the Lenfest AI Collaborative placed AI engineers in 10 newsrooms.txt",8450,2025-12-19-jim-friedlich-david-chivers-matt-boggie-how-the-lenfest-ai-c,True
2026-01-01,"Francesco Marconi & Scott Austin: 2025 Year in Review, What Actually Changed in AI and Media",Francesco Marconi & Scott Austin,https://shows.acast.com/newsroomrobots/episodes/francesco-marconi-scott-austin-2025-year-in-review-what-actu,"2026-01-01 - Francesco Marconi & Scott Austin 2025 Year in Review, What Actually Changed in AI and Media.txt",12249,2026-01-01-francesco-marconi-scott-austin-2025-year-in-review-what-actu,True
2026-01-10,Alessandro Alviani & Fabian Heckenberger: How Germany’s Süddeutsche Zeitung is building AI products that audience can trust,Alessandro Alviani & Fabian Heckenberger,https://shows.acast.com/newsroomrobots/episodes/alessandro-alviani-fabian-heckenberger-how-germanys-suddeuts,2026-01-10 - Alessandro Alviani & Fabian Heckenberger How Germany’s Süddeutsche Zeitung is building AI products that audience can trust.txt,9159,2026-01-10-alessandro-alviani-fabian-heckenberger-how-germanys-sddeutsc,True
2026-01-27,"Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers: Chicago Public Media on Building AI Tools That Serve the Audience","Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers",https://shows.acast.com/newsroomrobots/episodes/melissa-bell-aron-pilhofer-david-chivers-chicagopublicmedia,"2026-01-27 - Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers Chicago Public Media on Building AI Tools That Serve the Audience.txt",8272,2026-01-27-melissa-bell-aron-pilhofer-mark-chonofsky-david-chivers-chic,True
