Title,Link,Release Date
"Melissa Bell, Aron Pilhofer, Mark Chonofsky & David Chivers: Chicago Public Media on Building AI Tools That Serve the Audience",https://shows.acast.com/newsroomrobots/episodes/melissa-bell-aron-pilhofer-david-chivers-chicagopublicmedia,2026-01-27
Alessandro Alviani & Fabian Heckenberger: How Germany’s Süddeutsche Zeitung is building AI products that audience can trust,https://shows.acast.com/newsroomrobots/episodes/alessandro-alviani-fabian-heckenberger-how-germanys-suddeuts,2026-01-10
"Francesco Marconi & Scott Austin: 2025 Year in Review, What Actually Changed in AI and Media",https://shows.acast.com/newsroomrobots/episodes/francesco-marconi-scott-austin-2025-year-in-review-what-actu,2026-01-01
"Jim Friedlich, David Chivers & Matt Boggie: How the Lenfest AI Collaborative placed AI engineers in 10 newsrooms",https://shows.acast.com/newsroomrobots/episodes/how-the-lenfest-ai-collaborative-placed-ai-engineers-in-10-n,2025-12-19
Tav Klitgaard: How Zetland turned a newsroom problem into a global AI business,https://www.newsroomrobots.com/,2025-12-15
Markus Franz: How Germany's Ippen Digital Is Prototyping the AI-Powered Newsroom of the Future,https://shows.acast.com/newsroomrobots/episodes/markus-franz-how-germanys-ippen-digital-is-prototyping-the-a,2025-11-26
Olle Zacharison: How BBC News is Shaping its AI Strategy for the Next Era of Journalism,https://www.newsroomrobots.com/p/how-the-bbc-is-shaping-its-ai-strategy,2025-11-15
Vilas Dhar: Why the Future of Journalism Is Still Human,https://www.newsroomrobots.com/,2025-10-08
Ludwig Siegele: Inside The Economist’s AI Playbook,https://www.newsroomrobots.com/,2025-09-23
Ivar Krustok: How Estonia’s Media Giant Builds AI That Actually Works,https://shows.acast.com/newsroomrobots/episodes/ivar-krustok-delfi-meedia-ai,2025-09-08
Djordje Padejski: Why AI Literacy Belongs at the Core of Journalism Education,https://shows.acast.com/newsroomrobots/episodes/djordje-padejski-why-ai-literacy-belongs-at-the-core-of-jour,2025-09-08
Sara Beykpour: The Next Chapter in News Aggregation,https://shows.acast.com/newsroomrobots/episodes/sara-beykpour-the-next-chapter-in-news-aggregation,2025-08-14
Florent Daudens: How Open-Source AI Puts Newsrooms Back in the Driver’s Seat,https://shows.acast.com/newsroomrobots/episodes/florent-daudens-how-open-source-ai-journalism,2025-07-15
"Fabian Heckenberg, Naja Nielsen & Gard Steiro: The Hard Truths About AI Every Newsroom Leader Can’t Ignore (Recorded Live at Nordic AI in Media Summit 2025)",https://shows.acast.com/newsroomrobots/episodes/fabian-heckenberg-naja-nielsen-gard-steiro-the-hard-truths-a,2025-07-09
Gina Chua: Where Journalism’s Value Lives When AI Tells the Story,https://shows.acast.com/newsroomrobots/episodes/gina-chua-journalisms-value-lives-when-ai-tells-the-story,2025-06-24
Zach Seward: How a Five-Person AI Team Is Powering Innovation at The New York Times,https://www.newsroomrobots.com/p/how-a-five-person-ai-team-is-powering,2025-05-30
Cheryl Phillips: How AI Is Uncovering Hidden Stories in Local Government,https://shows.acast.com/newsroomrobots/episodes/cheryl-phillips-how-ai-hidden-stories-in-local-news,2025-05-30
Kasper Lindskow: Building a Scalable AI Infrastructure at Denmark's JP/Politikens Media Group,https://shows.acast.com/newsroomrobots/episodes/kasper-lindskow-denmark-jppolitikens-media-group-ai-tools,2025-03-18
Rune Ytreberg and Lars Adrian Giske: How iTromsø is Building an AI-Ready Foundation for News,https://shows.acast.com/newsroomrobots/episodes/rune-ytreberg-and-lars-adrian-giske-how-itroms-is-building-a,2025-03-03
Rune Ytreberg & Lars Adrian Giske: Building AI Tools for Investigative Journalism in Local News,https://www.newsroomrobots.com/p/building-ai-tools-for-investigative,2025-02-18
"Neil Brown: The Pulitzer Prizes, AI Transparency, and Journalism’s Next Evolution",https://www.newsroomrobots.com/p/neil-brown-pulitzer-prize-ai-use-in-journalism-poynter-institute,2025-02-10
Upasna Gautam: The Product Manager's Guide to AI in News,https://www.newsroomrobots.com/,2024-12-27
Agnes Stenbom: Reimagining News Through the Eyes of Gen Z,https://www.newsroomrobots.com/p/reimagining-news-through-the-eyes,2024-11-27
"Ritvvij Parrikh: Personalization Vs. Editorial Judgment? At The Times of India, You Can Have Both",https://www.newsroomrobots.com/,2024-10-23
Martin Schori: The AI Hub Powering Innovation at Sweden’s Aftonbladet,https://shows.acast.com/newsroomrobots/episodes/martin-schori-the-ai-hub-powering-innovation-at-swedens-afto,2024-09-12
Your Questions Answered: A Live Q&A Session in Collaboration with the Online News Association,https://shows.acast.com/newsroomrobots/episodes/your-questions-answered-a-live-qa-session-in-collaboration-w,2024-09-02
Congresswoman Anna Eshoo: Shaping the Future of AI Policy,https://shows.acast.com/newsroomrobots/episodes/congresswoman-anna-eshoo-shaping-the-future-of-ai-policy,2024-08-09
Natali Helberger: Audience-Centric Approaches to AI Ethics in Media,https://shows.acast.com/newsroomrobots/episodes/natali-helberger-a-roadmap-to-responsible-ai-adoption-in-new,2024-07-24
Garance Burke: A Journalist's Guide to Investigating Artificial Intelligence,https://www.newsroomrobots.com/,2024-07-08
Ole Reissmann: Revolutionizing a Legacy Newsroom with AI at Germany's Der Spiegel,https://www.newsroomrobots.com/,2024-06-19
Jaemark Tordecilla: Unlocking the Potential of Custom GPTs for Newsrooms,https://www.newsroomrobots.com/,2024-06-05
Adrian Gill: How AI Image Generation is Revolutionizing the Graphic Design Industry,https://www.newsroomrobots.com/,2024-05-26
Mattia Peretti: Balancing AI Innovation with Journalistic Integrity,https://shows.acast.com/newsroomrobots/episodes/mattia-peretti-balancing-ai-innovation-with-journalistic-int,2024-05-01
Florent Daudens: Building an AI-Literate Newsroom at Radio Canada,https://shows.acast.com/newsroomrobots/episodes/florent-daudens-building-ai-newsroom-radio-canada-cbc,2024-03-29
Ezra Eeman: Navigating the AI Frontier at the Dutch Public Broadcaster NPO,https://www.newsroomrobots.com/,2024-03-14
Craig Newmark: Philanthropy's Role in Supporting Journalism in the AI Era,https://shows.acast.com/newsroomrobots/episodes/craig-newmark-philanthropys-role-in-supporting-journalism-in,2024-03-02
How Germany’s Ippen Digital is Fine-Tuning Large Language Models for Their Newsroom,https://shows.acast.com/newsroomrobots/episodes/how-germanys-ippen-digital-is-fine-tuning-large-language-mod,2024-02-17
Alessandro Alviani (Part One): Building AI Products with an Editor-Centric Approach,https://shows.acast.com/newsroomrobots/episodes/alessandro-alviani-part-one-building-ai-products-with-an-edi,2024-02-09
Jeff Jarvis (Part Two): Rethinking the journalism business model in the age of AI,https://shows.acast.com/newsroomrobots/episodes/rethinking-the-journalism-business-model-ai-jeff-jarvis,2024-02-01
Jeff Jarvis (Part One): Should AI have the ‘right to read’ news like humans do?,https://shows.acast.com/newsroomrobots/episodes/jeff-jarvis-should-ai-have-the-right-to-read-news-like-human,2024-01-23
Aliya Itzkowitz and Sam Gould (Part Two): Potential of Multimodal AI and Autonomous AI Agents in Publishing,https://shows.acast.com/newsroomrobots/episodes/aliya-itzkowitz-sam-gould-ft-strategies-multimodal-ai-agents,2024-01-16
Aliya Itzkowitz & Sam Gould (Part One): Insights from FT Strategies' AI Design Sprint Day,https://shows.acast.com/newsroomrobots/episodes/aliya-itzkowitz-sam-gould-ai-design-sprint-ft-strategies,2024-01-06
