source_id,source_title,author,year,pipeline_step,extract_type,themes,extract,relevance_rationale,notes
8,Facts Are Sacred,Simon Rogers,2013,Get,tool-specific,PDF extraction; Adobe Professional; Text Wrangler; HTML tables,"Tables on pages can sometimes be extracted using Adobe Professional (which has an option if you highlight the table and control-click it). Often it's simpler to use a basic programme like Text Wrangler to access the data. If a table's published on a web page, one thing worth trying is saving the web page as html -- and then opening it in Excel, which then opens it as a table.",Specific tool advice about Adobe Professional and Text Wrangler for PDF extraction is obsolete; LLMs handle this natively,
8,Facts Are Sacred,Simon Rogers,2013,Present,tool-specific,Google Charts; Google Fusion Tables; free tools; quick output,"At the end of that process is the output -- will it be a story or a graphic or a visualisation, and what tools will we use? Our top tools are the free ones that we can produce something quickly with. We commonly use Google charts for small line graphs and pies, or Google Fusion Tables to create maps quickly and easily.",Google Fusion Tables is discontinued; the specific free tool recommendations are entirely outdated,
10,Finding Stories in Spreadsheets,Paul Bradshaw,2015,Analyse,procedural,self-directed learning; function discovery; search strategy,"You can start to search for useful functions whenever you come across a task or problem which you think others may have already solved, adding the word 'function'. For example, 'Excel function extract day from date' or 'Google spreadsheets function count blank cells'.",LLMs now serve as the primary way to discover spreadsheet functions rather than searching with keywords,
21,Digital Investigative Journalism,"Oliver Hahn, Florian Stalph (eds.)",2018,Verify,tool-specific,video verification; YouTube; reverse image search; Amnesty International,"Videos can be harder to find. Unlike photographs, there is currently no reverse search platform for videos, but Amnesty International's YouTube Dataviewer will extract the preview frames from a YouTube video, allowing them to be easily reverse image searched. However, it will not be accurate if the video is edited, shortened, or extended with additional footage.","AI video analysis and reverse video search tools now exist, making the no-reverse-search-for-video limitation obsolete",
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Clean,procedural,text cleaning; URL removal; preprocessing,What we want to do is to make the content column easier to analyze. ... We'll probably want to remove URLs from the text of the tweets since they aren't actual words.,Manual text preprocessing like URL removal and tokenization is handled automatically by LLMs,Strip URLs before tokenising text; they add noise to word frequency counts
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Clean,procedural,tokenisation; case normalisation; punctuation removal; text preprocessing,"If you are trying to create a list of unique words, R will treat differences in capitalization as unique and also will include punctuation by default ... Fortunately, this is a solved problem with tidytext, which has a function called unnest_tokens that will convert the text to lowercase and remove all punctuation.",Case normalization and punctuation handling for text analysis is obsoleted by LLM text understanding,unnest_tokens handles lowercase conversion and punctuation removal in one step
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Clean,procedural,stop words; text preprocessing; word frequency,"Well, that's a bit underwhelming - a lot of very common (and short) words. This also is a solved problem in working with text data, and words like 'a' and 'the' are known as 'stop words.' In most cases you'll want to remove them from your analysis since they are so common.",Stop-word removal as a manual step is obsoleted by LLMs that inherently understand word significance,Remove stop words to surface meaningful content words in frequency analysis
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Analyse,procedural,ngrams; bigrams; text analysis; multi-word phrases,The next step in text analysis is using ngrams. An ngram is any combination of words that you specify. Two word ngrams are called bigrams (bi-grams). Three would be trigrams.,N-gram frequency analysis is largely superseded by LLM semantic understanding of text,Move from single-word to multi-word analysis to capture phrases and richer patterns
37,The Art and Science of Data-Driven Journalism,Alexander Howard,2014,Get,procedural,crowdsourcing; data-creation; PDF-extraction,"ProPublica created a software application to enable volunteers to translate unsearchable PDF files into structured data and sort the files by market, amount, candidate, and political group. Nearly 1,000 people pored over the files, logging detailed ad spending data to create a public database that otherwise wouldn't exist.",Crowdsourcing PDF-to-structured-data conversion has been largely replaced by LLM-powered document extraction and OCR,Free the Files project
37,The Art and Science of Data-Driven Journalism,Alexander Howard,2014,Analyse,tool-specific,tool-ecosystem; workflow-design,"The canonical suite of tools for computer-assisted reporting: spreadsheets, databases, text editors, and statistics software. Today, data journalists also leverage Web-based tools like Open Refine, Google Fusion Tables, and Tableau, and modern programming languages like Python, Ruby, and Javascript, as well as d3.","The canonical tool list (Excel, Access, Fusion Tables, etc.) is thoroughly outdated; LLMs plus modern tools have replaced most of this specific stack",
41,The Journalist's Toolbox Handbook,Mike Reilley,2024,Get,procedural,efficiency; transcription; workflow design,"An old reporter's trick: do not transcribe the entire interview. As you record, keep track of the time code on the recorder. In your notebook, list the times when an interesting quote starts or ends, and work forward or backward from there. This saves many hours of time with transcriptions.","LLMs can now transcribe full interviews cheaply and instantly, making selective time-code transcription unnecessary",
41,The Journalist's Toolbox Handbook,Mike Reilley,2024,Get,tool-specific,data scraping; spreadsheets; data collection,You can scrape data from the FDIC Failed Banks List (or any other site with a table of data) with this basic scraping formula.,"Basic table scraping formulas are now trivially handled by LLMs that can scrape, parse, and structure any web table",
41,The Journalist's Toolbox Handbook,Mike Reilley,2024,Analyse,tool-specific,AI tools; document analysis; reporting workflow,"The tool allows you to upload documents and analyze a document up to 75,000 words. You can upload multiple documents.",Specific tool for document upload and analysis is superseded by LLMs that natively analyze documents up to millions of tokens,
41,The Journalist's Toolbox Handbook,Mike Reilley,2024,Get,tool-specific,data scraping; financial data; monitoring; spreadsheets,Business reporters use this to track companies and their stock prices across multiple markets.,Specific stock-tracking tool reference is superseded by LLM agents that can query financial data in real time,
50,¿Qué es el periodismo de datos?,Sandra Crucianelli,2013,Clean,tool-specific,CSV; spreadsheets; data cleaning; file formats,"When a CSV data file is downloaded, the columns must be restructured using Text to Columns in the Data tab, selecting Delimited with Tab and Comma separators.",Manual CSV restructuring with Text to Columns is now handled automatically by LLMs and modern data tools that auto-detect delimiters,
50,¿Qué es el periodismo de datos?,Sandra Crucianelli,2013,Analyse,tool-specific,mashups; data integration; hybrid applications; web tools,"Mashups allow the combination of data that exists in different sources, such as YouTube, Flickr, Google Maps and Google Earth. The scenario in which mashups are developed is incredibly versatile and new resources appear every day.",Mashup tools like Flickr/Google Maps integration described here have been superseded by modern APIs and LLM-powered data integration,
50,¿Qué es el periodismo de datos?,Sandra Crucianelli,2013,Find,procedural,search skills; advanced search; data acquisition; monitoring,"Skills developed in web searching: using Google in the traditional way is not enough. One must learn to get more out of advanced searches, by format, by domain and by date; but also, in the absence of a national open data initiative, monitor the possible official sites where there is data.","Advanced Google search techniques by format, domain, and date have been largely supplanted by LLM-powered search and data discovery tools",
83,Antecedentes y fundamentos del Periodismo de datos,various,n.d.,Get,tool-specific,scraping; tools; data extraction,"This technique called scraping or in Spanish 'rascar' (to scrape) is carried out using applications such as: Kimono Labs, Scraper Wiki and Outwit Hub, which automatically extract information from an Internet portal in .xml format for subsequent analysis.",Specific scraping tools like Kimono Labs and ScraperWiki are defunct; LLM-assisted coding now handles web scraping tasks,Scraping tools circa 2016. Kimono Labs now defunct; ScraperWiki renamed. Historically situated.
83,Antecedentes y fundamentos del Periodismo de datos,various,n.d.,Analyse,tool-specific,toolstack; team structure; Excel; OpenRefine; Datawrapper; Tableau; D3,"the Data Unit is made up of a multidisciplinary team of three people: Daniele Grasso, Jesús Escudero and Adrián Blanco. They also have the support of developers, designers and layout artists from the media outlet. Among the computer applications they use for their daily work, the following stand out: Microsoft Excel, Open Refine, Datawrapper, Infogram and Tableau Public. For more complex visualizations and applications they use D3, a JavaScript library.",Specific toolstacks like Excel/OpenRefine/Datawrapper/D3 circa 2016 are dated; LLMs now handle many of these tasks directly,El Confidencial data unit toolstack circa 2016. Core team of 3 plus support staff. Two-tier viz: simple (Datawrapper/Infogram/Tableau) vs complex (D3).
83,Antecedentes y fundamentos del Periodismo de datos,various,n.d.,Analyse,tool-specific,toolstack; Tabula; CartoDB; OpenRefine; newsroom integration,"Among the tools they use to develop data journalism, the following stand out: Excel, OpenRefine, Tabula, Kimono Tableau, CartoDB and D3. As an independent section of the newspaper, they seek out their own topics, although they are permeable to current events and the topics being covered in the newsroom. Collaboration with the print newsroom is continuous.",Specific toolstacks citing Tabula/Kimono/CartoDB are historically situated and largely superseded by LLM-assisted workflows,El Mundo data unit toolstack circa 2016. Adds Tabula and CartoDB. Notable: independent topic selection but continuous collaboration with print newsroom.
97,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,Clean,procedural,text cleaning; OCR; tokenization; NLP preprocessing; stopwords,"Cleaning: OCR. Filtering stuff out like documents in other languages. Lowercasing, punctuation, stripping HTML, bylines, etc. Tokenization (words -> columns). Stemming/lemmatization & part-of-speech tagging. Remove stopwords and meaningless words.","Manual text preprocessing (tokenization, stemming, stopword removal) is largely automated by LLMs that handle raw text directly",
97,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,Analyse,tool-specific,TFIDF; clustering; sentiment analysis; word vectors; NLP techniques,"Counting words. TFIDF (Term Frequency Inverse Document Frequency). Keyword. Clustering. Sentiment. Vectorization. Vectorization = give it lots of documents, it'll figure out which words appear in similar contexts. Can ask analogies like what is the Republican version of what the Democrats call an estate tax.","TFIDF, manual clustering, and word vectors are largely superseded by LLM embeddings and zero-shot classification for journalistic text analysis",
97,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,Clean,procedural,text preprocessing; stop words; NLP; data cleaning; tokenization,"We're going to remove 'stop' words, such as a and the. Then we'll remove all the punctuation and pronouns. Plus some garbage tokens that came along with the emails we have. Everything gets cleaned up with this reusable function.",Manual stop-word removal and text preprocessing is largely handled automatically by LLM embeddings that understand semantic meaning directly,"Standard NLP preprocessing pipeline: stop words, punctuation, pronouns, domain-specific garbage"
97,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,Clean,procedural,text chunking; sentence segmentation; semantic search; preprocessing,"We have to do this because pages and paragraphs often cover multiple topics, which might confuse the model. And, Universal Sentence Encoder is built to encode sentences... and so it ignores anything after the 128th word in its input. The code below cuts the text into sentences, but groups any two consecutive sentences under 15 words long together.",Sentence-level splitting for Universal Sentence Encoder is obsolete as LLMs handle full-document semantic search natively,Chunking strategy must respect both model input limits and topic coherence
97,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,Clean,procedural,whitespace cleaning; Python string methods; split-join pattern; data cleaning,"Remove internal whitespace: Python does not have a built-in string method to remove internal whitespace, but Googling around will yield a common strategy: Using the split() method to separate individual words in the string, then join()ing the resulting list on a single space. As a one-liner: my_text_clean = ' '.join(my_text.split()).",Manual internal whitespace removal via split/join is trivial for LLMs to handle in generated code without explicit instruction,split-then-join idiom for normalizing internal whitespace
97,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,Clean,procedural,character encoding; utf-8; latin-1; data cleaning; web scraping,"Fix encoding errors: You might have noticed a few encoding problems --- e.g., Nestle is being rendered as NestlA. This is due to an encoding problem --- the warn_page.text is not encoded as utf-8. Using decode() and encode(), see if you can fix this. Hint: It looks like the state of Maryland is a big fan of latin-1.",Manual encoding error diagnosis and fix via .encode/.decode is trivially handled by LLMs and modern libraries,Encoding mismatches common in government web scraping; detect and convert
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,tool-specific,search operators; Google advanced search; background research,"The simple two-letter word 'is' reveals opinions and facts about your subject. To avoid clutter, include the company name of the person or any other detail you know, and tell Google that both words should not be that far from each other. The AROUND() operator MUST BE IN CAPITALS. It sets the maximum distance in words between the two terms.",Manual Google search operator syntax for finding people is largely displaced by LLM-powered search and research agents,Henk van Ess technique for building background profiles using AROUND() proximity operator
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,tool-specific,government records; site operator; public records,"Search for worldwide official documents about this person. It searches for gov.uk (United Kingdom) but also .gov.au (Australia), .gov.cn (China), .gov (U.S.) and other governmental websites in the world. If you don't have a .gov website in your country, use the local word for it with the site: operator.",Manual site-specific government domain searching is displaced by LLM search tools that can query across jurisdictions conversationally,Using site:gov.* variants to find official documents across jurisdictions
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,procedural,name variations; iterative search; identity resolution,"With this formula you can find results that use different spellings of the name. You will receive documents with the word Shell, but not those that include 'Ben' as the first name. With this, you will find out that he is also referred to as Bernardus van Beurden. Now repeat steps a, b, c and d with this new name.","Boolean name-variant search formulas are displaced by LLMs that handle name variations, transliterations, and exclusions natively",Iterative technique: discover name variants then re-run all previous search strategies with new spellings
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,epistemological,search strategy; keyword selection; information retrieval,"Search engines like Google don't actually know what web pages are about. They do, however, know the words that are on the pages. So to get a search engine to behave itself, you need to work out which words are on your target pages. Choose your search terms wisely. Each word you add to the search focuses the results by eliminating results that don't include your chosen keywords. Some words are on every page you are after. Other words might or might not be on the target page. Avoid those subjective keywords, as they can eliminate useful pages from the results.","The epistemology of keyword-based search engines is being displaced by semantic search where LLMs understand page meaning, not just keywords","Core principle: think about what words will appear on the target page, not what the page is about"
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,tool-specific,search operators; OR operator; keyword strategy,"If you don't have definite keywords, you can still build in other possible keywords without damaging the results. Pages discussing heroin use in Texas might not include the word 'Texas'; they may just mention the names of different cities. You can build these into your search as optional keywords by separating them with the word OR (in capital letters).",Manual synonym/location keyword expansion is displaced by LLMs that natively understand geographic and linguistic variants,Using OR for optional keywords when target pages may use synonyms or specifics instead of general terms
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,tool-specific,site operator; domain filtering; institutional sources,"You can focus your search on a particular site by using the search syntax 'site:' followed by the domain name. You can also use it to focus your search on municipal and academic sources, too. This is particularly effective when researching countries that use unique domain types for government and university sites.",Site-specific search operator syntax is displaced by LLM search agents that handle domain filtering conversationally,
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Find,tool-specific,filetype operator; data formats; structured data,"Some information comes in certain types of file formats. For instance, statistics, figures and data often appear in Excel spreadsheets. Professionally produced reports can often be found in PDF documents. You can specify a format in your search by using 'filetype:' followed by the desired data file extension.",Filetype-based search operators are displaced by LLM tools that can locate and parse spreadsheets and PDFs directly,"Matching expected file format to data type: spreadsheets for stats, PDFs for reports"
138,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,Clean,tool-specific,OpenRefine; data profiling; faceted browsing; histograms,Open Refine is an excellent tool to quickly explore and evaluate the quality of databases. You can use Open Refine to run a numeric facet in the Amount field. A numeric facet groups numbers into numeric range bins. This enables you to select any range that spans a consecutive number of bins. You can generate a histogram with the values range included in the database. Records can then be filtered by values by moving the arrows inside the graph. The same can be done for dates and text values.,OpenRefine numeric faceting is now largely displaced by LLM-powered data profiling that can do richer quality assessment conversationally,
142,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,Find,tool-specific,username-search; cross-platform; namechk,"When I find a username or email I think might belong to my subject, I plug it into an online tool like namechk or namecheckr that looks for username availability across multiple platforms. These tools are designed to be an easy way for marketers to see if a given username they're planning to register is available across platforms. But they're also useful for checking whether a username you're investigating also exists elsewhere.",Specific tools like namechk/namecheckr are displaced by LLM agents that can check username availability across platforms programmatically,Username match across platforms does not prove same person
142,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,Find,tool-specific,Google-search; site-operator; primary-sources,Go to a generic search engine. Start with the query and end with 'site:' followed directly with the URL (no spaces). This is the formula for finding out if an original source shows you everything.,Site-specific search operator syntax is displaced by LLM search tools that handle domain-scoped queries conversationally,Primary source check formula: query + site:domain
142,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,Find,tool-specific,Google-search; filetype-operator; document-trail,Try to find the common denominator of any online invitation. It's often a PDF document. Search for just that with 'filetype:pdf' and you might find it.,Filetype-specific search operators are displaced by LLM agents that find and parse documents across formats conversationally,"Part of a 3-step document trail method: establish type, be neutral on wording, identify who is involved"
142,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,Find,tool-specific,Twitter; advanced-search; platform-specific-search,"Generic search engines like Google often struggle to deliver quality results from the trillions of posts on Twitter, or on big platforms such as Facebook and Instagram. The answer for Twitter is to use its Advanced Search functionality and add keywords, username and time period.",Platform-specific search tools like TweetDeck advanced search are displaced by LLM-powered social media analysis tools,Google site: operator unreliable for social media platforms
142,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,Find,tool-specific,Google-search; exclusion-operator; network-mapping,Exclude the target website by adding -site:friendsofscience.org. This helps you find information from outside parties.,Site exclusion operators are basic search syntax now handled conversationally by LLM search agents,Excluding target site reveals third-party references
142,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,Find,tool-specific,Twitter-search; engagement-filter; viral-content,You can filter by engagement simply by adding 'min_retweets:500' or 'min_faves:500' to your search query. This will get only tweets with at least 500 retweets or likes.,Platform-specific engagement filter syntax like min_retweets is displaced by LLM tools that query social data conversationally,
143,Verification Handbook 2: A Definitive Guide to Verifying Digital Content for Emergency Coverage,"Craig Silverman (ed.), EJC",2015,Verify,tool-specific,OpenRefine; data profiling; data quality,Open Refine is an excellent tool to quickly explore and evaluate the quality of databases. Open Refine can be used to run a numeric 'facet' which groups numbers into numeric range bins. This enables you to select any range that spans a consecutive number of bins. The same can be done for dates and text values.,OpenRefine for data exploration is now largely superseded by LLMs that can profile and clean data conversationally,
152,Data Journalism: Lessons Learned While Designing an Interdisciplinary Service Course,Plaue and Cook,2015,Clean,tool-specific,Excel; VLOOKUP; data transformation; date parsing,"using advanced Excel formulas including VLOOKUP, RIGHT, LEFT, SEARCH to combine and format data; using Excel formulas to change contents of a cell into more useful formats (e.g. convert a date in the format of 2/13/2014 into 4 columns with a weekday, day, month, and year)","Specific Excel formulas like VLOOKUP, RIGHT, LEFT, SEARCH for data transformation are now handled more naturally by LLM-assisted coding",Specific Excel formulas for restructuring data
152,Data Journalism: Lessons Learned While Designing an Interdisciplinary Service Course,Plaue and Cook,2015,Clean,tool-specific,Google Refine; spelling correction; data standardization,using Google Refine to correct spelling mistakes in hand-entered data,Google Refine for spelling corrections in hand-entered data is now largely handled by LLM-powered fuzzy matching and entity resolution,
152,Data Journalism: Lessons Learned While Designing an Interdisciplinary Service Course,Plaue and Cook,2015,Present,tool-specific,pivot tables; Google Fusion Tables; TileMill; D3; interactive maps; visualization tools,"Microsoft Excel Pivot Tables, for large data set summaries; Google Fusion Tables to create basic charts and maps of data, providing HTML code that can be embedded into Web pages; TileMill, an online resource that allows users to design aesthetically pleasing interactive maps using a CSS-like class structure; Data-Driven Documents (D3), a JavaScript library for creating interactive (and often strikingly beautiful) visualizations.",Google Fusion Tables is defunct; TileMill is deprecated; the specific tool stack has been superseded by modern alternatives and AI-assisted viz,"Tool stack from simple (pivot tables) to complex (D3), scaffolded progression"
153,Interdisciplinary Learning in Journalism: A Hong Kong Study,Zhu and Du,2018,Get,tool-specific,environment setup; technical barriers; tooling,"Many programmers told me it's easy to master a code language, but you will give up at the first step — environment configuration. Without the configuration, you cannot install the software or the software cannot run well.",Environment configuration as a hidden barrier to entry is now largely eliminated by LLMs that can debug setup issues and cloud-based tools,Alumnus A3 quote; environment configuration as a hidden barrier to entry for journalists learning technical tools
156,By the Numbers: Data Journalism Projects as a Means of Teaching Political Investigative Reporting,Caroline Graham,2015,Get,procedural,data entry templates; constrained input; automation; accuracy,"By far, the most important strategy used to facilitate the coding process was electronic code response sheets. For each of the three coding parts, students received an Excel or Word document to record results in; these documents used functions like drop-down responses and automated data-checking processes to save time and improve accuracy.",Drop-down templates and automated data-checking in Excel are largely superseded by LLM-assisted data entry and validation,Drop-downs and automated checks embedded in collection instruments
