id,file,title,author,year,lang,type,words,translated
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,EN,handbook,73439,no
8,08-facts-are-sacred.md,Facts Are Sacred,Simon Rogers,2013,EN,book,27593,no
10,10-finding-stories-spreadsheets.md,Finding Stories in Spreadsheets,Paul Bradshaw,2015,EN,ebook,94314,no
11,11-data-literacy.md,Data Literacy: A User's Guide,David Herzog,2015,EN,book,64796,no
13,13-curious-journalists-guide-to-data.md,The Curious Journalist's Guide to Data,Jonathan Stray,2016,EN,book,32753,no
15,15-investigative-reporters-handbook-6e.md,Investigative Reporter's Handbook (6th ed.),"Brant Houston, Mark Horvit, IRE",2020,EN,book,170921,no
21,21-digital-investigative-journalism.md,Digital Investigative Journalism,"Oliver Hahn, Florian Stalph (eds.)",2018,EN,book,85569,no
22,22-ddj-handbook-2.md,The Data Journalism Handbook 2,"Liliana Bounegru, Jonathan Gray (eds.)",2021,EN,handbook,127919,no
23,23-data-storytelling-workbook.md,The Data Storytelling Workbook,"Anna Feigenbaum, Aria Alamalhodaei",2020,EN,book,76745,no
24,24-data-plus-journalism.md,Data + Journalism: A Story-Driven Approach,"Mike Reilley, Samantha Sunne",2022,EN,textbook,74700,no
33,33-data-journalism-wells.md,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,EN,online book,892959,no
37,37-art-science-data-driven-journalism.md,The Art and Science of Data-Driven Journalism,Alexander Howard,2014,EN,report,59526,no
38,38-teaching-data-computational-journalism.md,Teaching Data and Computational Journalism,"Charles Berret, Cheryl Phillips",2016,EN,report,28070,no
41,41-journalists-toolbox-handbook.md,The Journalist's Toolbox Handbook,Mike Reilley,2024,EN,book,87076,no
42,42-data-journalism-heist.md,Data Journalism Heist,Paul Bradshaw,2013,EN,ebook,10083,no
50,50-que-es-periodismo-de-datos.md,¿Qué es el periodismo de datos?,Sandra Crucianelli,2013,ES,guide,6308,yes
51,51-manual-periodismo-datos-iberoamericano.md,Manual de Periodismo de Datos Iberoamericano,"Felipe Perry, Miguel Paz (eds.)",2014,ES,handbook,1201,yes
52,52-big-data-periodismo.md,Big Data y periodismo en la sociedad red,Carlos Elías,2015,ES,book,43138,yes
54,54-guia-buenas-practicas.md,Guía de Buenas Prácticas para Periodistas de Datos,Lorena R. Romero-Domínguez,n.d.,ES,guide,7917,yes
56,56-guia-periodismo-datos-ojopublico.md,Guía de periodismo de datos,"David Hidalgo, Fabiola Torres (Ojo Público)",n.d.,ES,guide,20772,yes
61,61-elementos-transparencia.md,Os Elementos de Transparência no Jornalismo Guiado por Dados,academic,n.d.,PT,book,72217,yes
63,63-dj-research-maturing-field.md,Data Journalism Research: Studying a Maturing Field,"Stalph, Hahn et al.",2019,EN,article,4553,no
66,66-teaching-dj-systematic-review.md,Teaching Data Journalism: A Systematic Review,various,2022,EN,article,10574,no
67,67-dj-systematic-literature-review.md,Data Journalism: A Systematic Literature Review,Özlem Erkmen,2023,EN,article,9959,no
69,69-open-data-journalism-domain-mapping.md,Open Data Journalism: A Domain Mapping Review,various,2023,EN,article,7580,no
71,71-data-science-ml-digital-journalism.md,"Data Science, ML and Big Data in Digital Journalism: A Survey",various,2023,EN,article,14180,no
72,72-data-journalism-africa-slr.md,Data Journalism in Africa: A Systematic Review,various,2024,EN,article,6163,no
73,73-teaching-dj-tech-companies.md,Teaching Data Journalism in a World of Technology Companies,MIT,2021,EN,article,4842,no
74,74-teaching-dj-indian-journalism.md,Teaching Data Journalism: Insights for Indian Journalism Education,"Kashyap, Bhaskaran",2020,EN,article,6475,no
76,76-dj-verification-ai.md,"Data Journalism, Digital Verification and AI",various,n.d.,EN,article,6628,no
77,77-ai-automation-investigative-journalism.md,Use Cases of AI and Automation Support in Investigative Journalism,various,2025,EN,article,7158,no
79,79-jornalismo-guiado-por-dados-trasel.md,Jornalismo guiado por dados: aproximações entre identidade jornalística e cultura hacker,Marcelo Träsel,n.d.,PT,article,6023,yes
80,80-jornalismo-dados-conceitos-categorias.md,Jornalismo de Dados: Conceitos e Categorias,academic,n.d.,PT,article,7541,yes
82,82-periodismo-datos-big-data-thesis.md,Periodismo de datos: el big data como elemento diferenciador,doctoral thesis,n.d.,ES,article,105808,yes
83,83-antecedentes-fundamentos.md,Antecedentes y fundamentos del Periodismo de datos,various,n.d.,ES,article,5001,yes
94,94-gijn-intro-data-journalism.md,GIJN Intro to Investigative Journalism: Data Journalism,"Purity Mukami, Emilia Díaz-Struck (GIJN)",n.d.,EN,guide,3015,no
95,95-maryjo-webster-training.md,MaryJo Webster Training Materials,MaryJo Webster,ongoing,EN,guide,19341,no
96,96-propublica-collaborative-dj-guide.md,ProPublica Collaborative Data Journalism Guide,Rachel Glickhouse (ProPublica),~2018,EN,guide,8948,no
97,97a-nicar-2014.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,3968,no
97,97b-nicar-2015.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,4974,no
97,97c-nicar-2016.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,19871,no
97,97d-nicar-2018.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,16681,no
97,97e-nicar-2020.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,1632102,no
97,97f-nicar-2021.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,1303,no
97,97g-nicar-2022.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,21328,no
97,97h-nicar-2023.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,7692,no
97,97i-nicar-2024.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,123250,no
97,97j-nicar-2025.md,NICAR Tipsheets Archive (2020–2025),"IRE/NICAR, compiled by Sharon Machlis",ongoing,EN,guide,191918,no
119,119-crucianelli-periodismo-base-datos.md,Sandra Crucianelli — Periodismo de Base de Datos (blog/tutorials),Sandra Crucianelli,ongoing,ES,guide,592,yes
121,121-escola-de-dados-tutorials.md,Escola de Dados — Courses and Tutorials,Escola de Dados,ongoing,PT,guide,1564,yes
123,123-escola-de-dados-primeiros-passos.md,Escola de Dados — Primeiros passos no jornalismo de dados,Escola de Dados,n.d.,PT,guide,610,yes
124,124-abraji-help-desk.md,Abraji Help Desk — Manual de Jornalismo de Dados,Abraji,ongoing,PT,guide,904,yes
125,125-mazotte-como-comecar.md,Natália Mazotte — Como começar no jornalismo de dados,Natália Mazotte,n.d.,PT,guide,210,yes
126,126-dossier-dj-teaching-strategies.md,A dossier of data journalism teaching strategies,DataJournalism.com,n.d.,EN,guide,1879,no
127,127-modern-investigative-journalism-arij.md,Modern Investigative Journalism: A Comprehensive Curriculum Based on the ARIJ Method,"Mark Lee Hunter, Luuk Sengers, Marcus Lindemann",2019,EN,curriculum,73358,no
128,128-model-21st-century-newsroom.md,A Model for the 21st Century Newsroom,Paul Bradshaw,2007 (ebook 2012),EN,ebook/blog,1465,no
131,131-making-sense-of-statistics.md,Making Sense of Statistics,Sense about Science + RSS,n.d.,EN,guide,5006,no
132,132-digging-deeper.md,Digging Deeper: A Canadian Reporter's Research Guide,"Robert Cribb, Dean Jobb, David McKie, Fred Vallance-Jones",3rd ed.,EN,book,142735,no
135,135-online-journalism-handbook.md,The Online Journalism Handbook: Skills to Survive and Thrive in the Digital Age,Paul Bradshaw,"3rd ed., 2023",EN,book,173868,no
136,136-power-of-data.md,The Power of Data: Data Journalism Production and Ethics,Zhang Chao,2023,EN,book,87263,no
138,138-verification-handbook.md,Verification Handbook for Investigative Reporting,"Craig Silverman (ed.), EJC",2014,EN,handbook,16731,no
139,139-best-practices-data-journalism.md,Best Practices for Data Journalism,Kuang Keng Kuek Ser (MDIF),n.d.,EN,guide,11649,no
140,140-data-for-journalism-tong.md,Data for Journalism: Between Transparency and Accountability,Jingrong Tong,2022,EN,book,49756,no
142,142-verification-handbook-3.md,Verification Handbook 3: For Disinformation & Media Manipulation,"Craig Silverman (ed.), EJC",2020,EN,handbook,37821,no
143,143-verification-handbook-2.md,Verification Handbook 2: A Definitive Guide to Verifying Digital Content for Emergency Coverage,"Craig Silverman (ed.), EJC",2015,EN,handbook,16731,no
144,144-exposing-the-invisible-kit.md,Exposing the Invisible: The Kit,Tactical Tech,2020+,EN,toolkit,24355,no
146,146-aljazeera-investigative-handbook.md,Al Jazeera Investigative Journalism Handbook,Al Jazeera Media Institute,2020,EN,handbook,19783,no
147,147-responsible-data-handbook.md,Responsible Data Handbook,The Engine Room,2014 (updated),EN,handbook,31737,no
148,148-algorithmic-accountability-diakopoulos.md,Algorithmic Accountability Reporting,"Nicholas Diakopoulos, Tow Center / CJR",2014,EN,report,9574,no
149,149-unesco-reporting-on-ai.md,UNESCO Reporting on Artificial Intelligence: Handbook for Journalism Educators,"Maarit Jaakkola (ed.), UNESCO",2023,EN,handbook,54355,no
150,150-amnesty-algorithmic-accountability-toolkit.md,Amnesty International Algorithmic Accountability Toolkit,Amnesty International,2025,EN,toolkit,2845,no
152,152-dj-lessons-interdisciplinary-course.md,Data Journalism: Lessons Learned While Designing an Interdisciplinary Service Course,"Christopher Plaue, Lindsey R. Cook",2015,EN,article,5304,no
153,153-interdisciplinary-learning-journalism-hk.md,Interdisciplinary Learning in Journalism: A Hong Kong Study of Data Journalism Education,"Lingzi Zhu, Ying Roselyn Du",2018,EN,article,8027,no
154,154-diy-project-based-teaching-dj.md,"A DIY, Project-based Approach to Teaching Data Journalism",Caroline Graham,2018,EN,article,4378,no
155,155-analyzing-code-critical-code-studies.md,Analyzing Code: What a Critical Code Studies Approach Reveals About the Epistemology of Data Journalism,"Aman Abhishek, Lucas Graves",2024,EN,article,10092,no
156,156-by-the-numbers-teaching-political-investigative.md,By the Numbers: Data Journalism Projects as a Means of Teaching Political Investigative Reporting,Caroline Graham,2015,EN,article,5013,no
157,157-first-things-first-teaching-dj.md,First Things First: Teaching Data Journalism as a Core Skill,"Lynette Sheridan Burns, Benjamin J. Matthews",2018,EN,article,6166,no
158,158-interrogating-data-panama-papers-ethics.md,"Interrogating Data, Algorithms, and Automatization Through Journalism Ethics (Panama Papers chapter)","Helena Cortés, María Luengo",2021,EN,article,8375,no
159,159-learning-to-teach-dj.md,"Learning to Teach Data Journalism: Innovation, Influence and Constraints",Jonathan Hewett,2015,EN,article,8756,no
160,160-teaching-dj-new-zealand.md,Teaching Data Journalism in New Zealand,Grant Hannis,2018,EN,article,2436,no
161,161-when-numbers-dont-add-up.md,When the Numbers Don't Add Up: Accommodating Data Journalism,Sue Green,2018,EN,article,5444,no
